DATE,REEF,SITE,RESEARCH_SITE,BLEACHING_SURFACE_1,BLEACHING_POPULATION_1,DAMAGE_ANCHOR_1,DAMAGE_DYNAMITE_1,DAMAGE_OTHER_1,DISEASE_COLONIES_1,DISEASE_POPULATION_1,SCARS_COTS_1,SCARS_DRUPELLA_1,SCARS_UNKNOWN_1,FISHINGLINE_1,TRASH_FISHNETS_1,TRASH_GENERAL_1,RARE_ANIMALS_1,BLEACHING_SURFACE_2,BLEACHING_POPULATION_2,DAMAGE_ANCHOR_2,DAMAGE_DYNAMITE_2,DAMAGE_OTHER_2,DISEASE_COLONIES_2,DISEASE_POPULATION_2,SCARS_COTS_2,SCARS_DRUPELLA_2,SCARS_UNKNOWN_2,FISHINGLINE_2,TRASH_FISHNETS_2,TRASH_GENERAL_2,RARE_ANIMALS_2,BLEACHING_SURFACE_3,BLEACHING_POPULATION_3,DAMAGE_ANCHOR_3,DAMAGE_DYNAMITE_3,DAMAGE_OTHER_3,DISEASE_COLONIES_3,DISEASE_POPULATION_3,SCARS_COTS_3,SCARS_DRUPELLA_3,SCARS_UNKNOWN_3,FISHINGLINE_3,TRASH_FISHNETS_3,TRASH_GENERAL_3,RARE_ANIMALS_3,BLEACHING_SURFACE_4,BLEACHING_POPULATION_4,DAMAGE_ANCHOR_4,DAMAGE_DYNAMITE_4,DAMAGE_OTHER_4,DISEASE_COLONIES_4,DISEASE_POPULATION_4,SCARS_COTS_4,SCARS_DRUPELLA_4,SCARS_UNKNOWN_4,FISHINGLINE_4,TRASH_FISHNETS_4,TRASH_GENERAL_4,RARE_ANIMALS_4
8/10/2016 9:30,Flat Rock Island,Shark Gulley,1,5,10,0,0,2,2,5,0,0,0,0,0,0,0,5,5,0,0,4,3,5,0,0,0,0,0,0,0,5,5,0,0,3,3,5,0,0,0,0,0,0,0,40,1,0,0,4,2,5,0,0,0,0,0,0,0
25/08/2018 13:30,Flat Rock Island,Shark Gulley,1,13,30,0,0,1,2,0,0,0,0,0,0,0,1,27,5,0,0,0,2,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,1,0,0,0,0,50,1,0,0,0,2,0,0,2,0,0,0,0,1
25/08/2013 11:40,Flat Rock Island,Shark Gulley,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13/09/2015 0:00,Flat Rock Island,Shark Gulley,1,65,5,0,0,7,1,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
27/11/2011 12:00,Flat Rock Island,Shark Gulley,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,2,4,0,0,0,0,0,0,0,0
23/11/2014 8:00,Flat Rock Island,Shark Gulley,1,0,0,0,0,1,0,0,0,0,3,0,0,0,1,23,5,0,0,0,0,0,0,0,0,0,0,0,0,39,10,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5/03/2016 14:45,Flat Rock Island,Shark Gulley,1,20,5,0,0,3,1,0,0,0,1,0,0,0,0,40,5,0,0,4,1,0,0,0,0,2,0,0,0,18,2,0,0,3,0,0,0,0,2,0,0,0,0,36,2,0,0,2,0,0,0,0,2,0,0,0,0
20/08/2009 0:00,Flat Rock Island,Shark Gulley,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
9/09/2017 12:00,Flat Rock Island,Shark Gulley,1,10,1,0,0,0,0,0,0,0,5,0,0,0,0,30,1,0,0,2,0,0,0,0,7,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14/10/2012 13:00,Flat Rock Island,The Nursery,1,8,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
